,store,address
280,구로삼성IT밸리점,"서울특별시 구로구 디지털로33길 27, 1층 107-1호(구로동, 삼성아이티밸리) "
281,옥길광양프런티어점,"경기도 부천시 양지로 237, 1층 105호(옥길동, 광양프런티어밸리5차) "
282,신사점,"서울특별시 강남구 도산대로8길 5, 1층(논현동) "
283,에이스K-1타워점,"서울특별시 금천구 가산디지털2로 166, 1층 101호(가산동, 에이스1타워) "
284,강동역점,"서울특별시 강동구 천호대로 1089, 지하1층 B31호(천호동, 강동 헤르셔) "
285,신사동점,"서울특별시 강남구 강남대로156길 8, 1층 103호(신사동) "
286,철산역롯데캐슬점,"경기도 광명시 시청로 50, A상가동 AA119호(철산동, 철산역 롯데캐슬&SKVIEW 클래스티지) "
287,가산포휴점,"서울특별시 금천구 가산디지털1로 225, 1층 122-1호(가산동, 에이스가산 포휴) "
288,청담점,"서울 강남구 압구정로79길 38, 데오빌로 1층 "
289,하남U1점,"경기도 하남시 하남대로 947, A동 1층 173B호(풍산동, 하남테크노밸리 U1 CENTER) "
290,보라매자이점,"서울특별시 동작구 여의대방로22길 121, 1층 1221호(신대방동, 보라매자이 더 포레스트) "
291,중앙대점,"서울특별시 동작구 흑석로101, 1층(흑석동) "
292,구로시장점,"서울특별시 구로구 구로동로26길 119, 1층 102호(구로동, 정엽빌딩) "
293,신사가로수본점,서울특별시 강남구 논현로 159길 34 1층 
294,천호점,서울특별시 강동구 올림픽로72길 25(천호동) 
295,보라매역부광약품점,"서울 동작구 상도로 13, 1층 "
296,자양시장점,"서울특별시 광진구 자양로15길 6, 1층(자양동) "
297,압구정역점,"서울특별시 강남구 압구정로30길 12, 지상1층(신사동) "
298,송도센트로드점,"인천광역시 연수구 인천타워대로 323, 상가동 1층 디117호(송도동, 송도 센트로드) "
299,미사스마트밸리점,"경기도 하남시 미사강변서로 16, 1층 알105호(풍산동, 하우스디스마트밸리) "
300,구로구청점,"서울특별시 구로구 가마산로 271, 1층 101호(구로동, 구롱오네뜨시티) "
301,고덕자이점,"서울특별시 강동구 상일로 55, 상가동 103-1호(상일동, 고덕자이) "
302,노량진점,서울특별시 동작구 노량진로 16길 26 1층 
303,구로SKV1점,"서울특별시 구로구 부광로 88, BB104호(항동, 구로 SK V1 center) "
304,메가스터디타워점,"서울 동작구 노량진로140, 메가스터디타워 1층 102호 "
305,광나루역점,"서울 광진구 천호대로 808, 광장12차현대홈타운 1202동 지하1층 105호 "
306,미사학원가점,"경기도 하남시 미사강변대로 64, 1층 107호(풍산동,제일아이조움) "
307,미사현대2차점,"경기도 하남시 미사대로 540 A동 C-123호(덕풍동, 현대지식산업센터 한강미사2차) "
308,노량진2호점,"서울특별시 동작구 노량진로12길 16, 1층(노량진동) "
309,노량진큐브점,"서울특별시 동작구 노량진로 80, 1층 101호(노량진동, 노량진큐브스테이트) "
310,한강미사점,"경기도 하남시 미사대로 520, C동 1층 029호(덕풍동, 현대지식산업센터 한강미사2차) "
311,고덕역점,"서울특별시 강동구 고덕로 262, 1층 119호(명일동, 고덕역 효성해링턴 타워 더퍼스트) "
312,성수AK밸리점,"서울특별시 성동구 연무장길 76, 1층 103호(성수동2가 성수 AK 밸리) "
313,오류동점,"서울특별시 구로구 오류로 51, 1층(오류동) "
314,인천만수동점,"인천광역시 남동구 백범로 107, 1층 전부호(만수동) "
315,대방역점,"서울특별시 영등포구 여의대방로62길 2, 1층(신길동, 봉덕빌딩) "
316,상일동역점,"서울특별시 강동구 고덕로 385, 1층 113호(고덕동, 고덕그라시움(제4상가)) "
317,건대후문점,"서울특별시 광진구 광나루로24길 29, 1층(화양동) "
318,미사역점,"경기도 하남시 미사강변남로 103, 1층 114호(망월동, 미사랑데르III) "
319,성수성원점,"서울특별시 성동구 아차산로15길 10, 116호(성수동2가, 성원상떼뷰 오피스텔) "
320,한남순천향병원점,"서울 용산구 대사관로 66, 1층 "
321,성수역SKV1점,"서울특별시 성동구 연무장9길 10, 101호(성수동2가) "
322,서울숲코오롱1차점,"서울특별시 성동구 성수일로4길 25, 1층 111호(성수동2가, 서울숲코오롱디지털타워) "
323,여의도라이프점,"서울특별시 영등포구 63로 40, 지하1층 22,23호(여의도동) "
324,고덕래미안점,"서울특별시 강동구 아리수로50길 50, 1층 147,148호(고덕동, 래미안힐스테이트고덕) "
325,성수역점,"서울특별시 성도우 성수이로 108, 1층 5호(성수동2가) "
326,동양미래대점,"서울특별시 구로구 경인로47길 31, 1층 101호(고척동, 동양빌딩) "
327,구로대명벨리온점,"서울특별시 구로구 경인로53가길 10, 1층 107호(구로동, 구로 대명 벨리온 지식산업센터) "
328,성수낙낙점,"서울특별시 성동구 아차산로17길 48, B동 1층 R104호(성수동2가) "
329,미사그랑파사쥬점,"경기도 하남시 미사강변동로 95, 1층 1070호(망월동, 힐스테이트 미사역 그랑파사쥬(12-1BL)) "
330,용산점,"서울특별시 용산구 한강대로30길 25, 지하1층 B117호(한강로2가, 아스테리움 용산) "
331,용산구청점,"서울특별시 용산구 녹사평대로32길 51, 지1층(이태원동) "
332,세종대점,"서울 광진구 광나루로 385, 1층 3호 "
333,구로공구상가점,"서울특별시 구로구 구로중앙로 211, 1층 제101,102호(구로동) "
334,용산푸르지오써밋점,"서울특별시 용산구 한강대로 69, 상가동 1층 104-2호(한강로2가, 용산푸르지오써밋) "
335,성수우림점,"서울특별시 성동구 광나루로6길 35, 1층 110호(성수동2가, 성수동우림 이비즈센터) "
336,성수엠타워점,"서울특별시 성동구 뚝섬로1길 31,1층 103호(성수동1가, 서울숲 M타워) "
337,미사호반써밋점,"경기도 하남시 미사강변한강로 270, 상가동 1층 187호(망월동, 미사강변 호반 써밋) "
338,이태원동점,"서울특별시 용산구 보광로59길 9, 1층(이태원동) "
339,샛강역점,"서울특별시 영등포구 의사당대로1길 11, 1층 107호(여의도동, 메종리브르오피스텔) "
340,모래내시장점,"인천 남동구 구월로276번길 40, 106호 "
341,아차산역점,"서울특별시 광진구 천호대로129길 7, 1층 (오른쪽 부분)(중곡동) "
342,신도림점,"서울특별시 구로구 경인로 661, 123호(신도림동, 신도림1차푸르지오) "
343,뚝섬역5번출구점,"서울시 성동구 상원길 24, 1층 102호 "
344,여의도미원빌딩점,"서울특별시 영등포구 국제금융로 70, 1층 114호(여의도동, 미원빌딩) "
345,신용산점,"서울특별시 용산구 새창로 217, 1층 제121, 122, 123, 127, 131호(한강로2가, 용산토투밸리) "
346,뚝섬역점,"서울특별시 성동구 아차산로 49, 1층 102-2호(성수동1가, 서울숲 코오롱디지털타워 III) "
347,서울숲아이코닉점,"서울시 성동구 서울숲2길 32-14, 1층 103호 "
348,여의도역점,"서울특별시 영등포구 의사당대로 108, 상가동 1층 118호(여의도동, 아일렉스) "
349,강일점,"서울특별시 강동구 아리수로93길 33-9, 1층 106호(강일동, 강일프라자) "
350,인천국세청점,"인천 남동구 남동대로765번길 26, 구월파라디아 1층 105호  "
351,에이스하이테크시티점,"서울특별시 영등포구 경인로 775, B183호(문래동3가, 에이스하이테크시티) "
352,영등포우체국점,"서울특별시 영등포구 경인로 841, 1층(영등포동4가) "
353,인천예술회관역점,"인천시 남동구 예술로 192번길 30, 1층 103호 (구월동) "
354,강동U1센터점,"서울 강동구 고덕비즈밸리로 26, 강동U1센터 1층 B-120호 "
355,서울숲A1점,"서울특별시 성동구 성수일로 11길 11, 1층(성수동1가) "
356,여의도s점,"서울특별시 영등포구 국제금융로2길 37, 107호(여의도동, S-TRENUE) "
357,영등포동2가점,"서울특별시 영등포구 영등포로 251-1, 1층 일부(영등포동2가) "
358,여의도증권가점,"서울특별시 영등포구 국제금융로2길 36, 1층(여의도동, 유화증권빌딩) "
359,타임스퀘어시티점,"서울특별시 영등포구 문래로 180, 1층 102호(영등포동4가, 영등포 센트럴 푸르지오 시티) "
360,경산하양점,"경상북도 경산시 하양읍 서사도리9로 17, 1층 110호(드림스퀘어2) "
361,여의도IFC몰점,"서울특별시 영등포구 국제금융로 10, B2층 일부호(여의도동,서울 국제금융 센터) 무빙워크 "
362,파크원타워1점,서울특별시 영등포구 여의대로 108 여의도파크원타워 타워1 2층 
363,용산원효점,"서울 용산구 원효로 139-1, 1층 "
364,한강성심병원점,"서울특별시 영등포구 버드나루로7길 3, 1층 104호(영등포동2가, 경동미르웰 여의도) "
365,여의도KBS본관점,"서울특별시 영등포구 의사당대로 38, 102동 1층 125호(여의도동, 여의도더샵아일랜드파크) "
366,당산생각공장점,"서울특별시 영등포구 영등포로 150, 1층 B112호(당산동1가, 생각공장 당산) "
367,문래SKV1점,"서울특별시 영등포구 선유로9길 10, 1층 129호(문래동6가, 문래 SKV1 center) "
368,부천역점,"경기도 부천시 부일로 464, 1층 103호 (심곡동, 태강캐슬) "
369,영등포시장역점	,"서울특별시 영등포구 영중로 75-1, 1층(영등포동7가) "
370,여의도스카우트빌딩점,"서울특별시 영등포구 국회대로62길 14, 1층 102호(여의도동, 한국보이스카우트연맹회관) "
371,영등포반도아이비밸리점,"서울 영등포구 영신로 166, 영등포반도아이비밸리 1층 118호 "
372,용산더프라임점,"서울특별시 용산구 원효로90길 12, 1층(원효로1가) "
373,미사SKV1점,"경기도 하남시 미사강변한강로 155, 1층 근생125호(망월동, 미사강변 SK V1 center) "
374,여의도점,"서울특별시 영등포구 국회대로 70길 22, 104(여의도동) "
375,문래점,"서울특별시 영등포구 선유로 76, 1층 105호(문래동3가, 동국메뜨리앙) "
376,여의도공원점,"서울시 영등포구 은행로 60-1, 1층 111호 "
377,남영역점,"서울특별시 용산구 한강대로 259, 1층 108호(갈월동, 고려에이트리움) "
378,서여의도점,"서울특별시 영등포구 국회대로76길 18, 1층 4호(여의도동, 오성빌딩) "
379,미사스카이폴리스점,"경기도 하남시 미사강변한강로 135, 나 123호(망월동, 834-1 미사강변스카이폴리스 지식산업센터) "
380,영등포리마크빌점,"서울특별시 영등포구 영중로 109, 1층(영등포동8가) "
381,문래에이스NS타워점,"서울 영등포구 문래동6가 33, 에이스NS타워 1층 108호 "
382,신정교점,"서울 양천구 신목로 31,1층 102호(신정동) "
383,장한평점,서울특별시 성동구 천호대로 400(용답동) 
384,장안동점,"서울특별시 동대문구 천호대로 427-4, 1층 일부(장안동) "
385,중곡보건복지행정타운점,"서울특별시 광진구 능동로 400, 1층 130호(중곡동, 보건복지행정타운) "
386,영등포리드원점,"서울특별시 영등포구 양산로 91, 1층 119호(당산동3가, 리드원) "
387,양천구청이스타빌점,"서울특별시 양천구 목동서로 377, A동 1층 103호(신정동, 이스타빌3차) "
388,영등포구청역점,"서울특별시 영등포구 당산로31길 16, 1층(당산동3가) "
389,양평역점,"서울특별시 영등포구 양산로 50-1, 1층 102호(양평동1가, 양평빌딩) "
390,동아프라임밸리점,"서울특별시 영등포구 영등포로5길 19, 1층 105호(양평동2가, 동아프라임밸리) "
391,한양대병원점,"서울 성동구 사근동길 4, 대학약국빌딩 1층  "
392,숙대점,"서울 용산구 청파로47길 67, 1층 "
393,행당무학점,"서울특별시 성동구 행당로 129, 1층(행당동) "
394,공덕오거리점,"서울특별시 마포구 새창로 13, 1층(도화동) "
395,마포트라팰리스점,"서울특별시 마포구 마포대로 53, 1층 120호(도화동, 마포트라팰리스) "
396,아인여성병원점,"인천광역시 미추홀구 경인로 372, 201동 지2층 B2029호(주안동, 포레나 미추홀) "
397,당산중앙점,"서울특별시 영등포구 당산로 175, 상가동 1층 104호(당산동4가. 당산동 삼익플라주아파트) "
398,광주수완점,"광주광역시 광산구 장신로 133(수완동, 삼광빌딩) "
399,오목교역점,"서울 양천구 오목로 345, 슬로우스퀘어 1층 108-1호 "
400,당산삼성타운점,"서울 영등포구 당산로44길 3, 삼성타운 1층 111호 전면부 "
401,송내남부역점,"경기도 부천시 송내대로 29, 105호(송내동) "
402,후암시장점,"서울 용산구 후암로 48, 1층 제6호 "
403,양평동3가점,"서울특별시 영등포구 선유로40길 12, 1층(양평동3가) "
404,마포용강점,"서울 마포구 토정로31길 49, 1층 "
405,장안현대홈타운점,"서울특별시 동대문구 장안벚꽃로 107, 제상가1동 제1층 제102호(장안동, 장안현대홈타운) "
406,소담길점,"서울특별시 마포구 마포대로8길 9, 1층 106호(공덕동, 영명빌딩) "
407,남산트윈시티타워점,"서울특별시 용산구 한강대로 366, 지하1층 108호(동자동, 트윈시티 남산) "
408,인하대점,"인천광역시 남구 인하로77번길 6, 1층(용현동) "
409,송내투나점,"경기도 부천시 부일로221번길 26, 1층 101호(상동, 삼원타운) "
410,부천유베이스타워점,"경기도 부천시 부흥로315번길 62, 113호(중동, 필-그린타워) "
411,공덕효성점,"서울특별시 마포구 마포대로 115-12, 공덕삼성아파트 상가동 1층 103, 104호(공덕동) "
412,춘의테크노파크점,"경기도 부천시 부천로198번길 36, 춘의테크노파크 103동 106 일부호(춘의동) "
413,인하대역점,"인천광역시 미추홀구 독배로317번길 21, 104호(용현동, 골드프라자) "
414,공덕동점,"서울특별시 마포구 마포대로 143, 1층 109호(공덕동, 마포공덕파크팰리스 II) "
415,춘의점,"경기도 부천시 조마루로385번길 131, 1층 1호(춘의동) "
416,목동41타워점,"서울특별시 양천구 목동동로 293, 1층 1-13호(목동, 현대41타워) "
417,당산이레빌딩점,"서울특별시 영등포구 선유동2로 57, 1층(양평동4가, 이레빌딩) "
418,주안역점,"인천광역시 미추홀구 주안로 116, B101호(주안동, 주안리가스퀘어)  "
419,목동점,"서울특별시 양천구 목동서로 221, 1층 110호(목동, 굿모닝탑) "
420,서울역점,"서울특별시 용산구 후암로 101, 1층(동자동) "
421,남산트라팰리스점,"서울특별시 중구 소월로2길 30, 1층 109호(남대문로5가, 남산트라팰리스) "
422,장충동먹자골목점,"서울특별시 중구 장충단로 193-1, 1층(쌍림동) "
423,동국대점,"서울특별시 중구 서애로1길 18-1, 1,2,3층(필동3가) "
424,신중동역점,"경기도 부천시 중동로248번길 124, 상가동 105호(중동, 중앙프라자) "
425,목동중앙점,"서울특별시 양천구 목동서로 133-4, 1층 105호(목동, 스카이포레) "
426,서울역서부점,"서울 용산구 청파로 395, 창성빌딩 1층  "
427,선유도ISBIZ1차점,"서울특별시 영등포구 양평로21길 26, 1층 101호(양평동5가, 선유도역1차아이에스비즈타워) "
428,신당역점,"서울특별시 중구 퇴계로87길 1, 1층(황학동) "
429,면목시장점,"서울특별시 중랑구 면목로33길 38, 1층(면목동) "
430,충무로역점,"서울특별시 중구 퇴계로 192, 1층 103호(필동1가, 거봉빌딩) "
431,선유도점,"서울특별시 영등포구 양평로21길 1, 1층 102호(양평동4가) "
432,회현역점,"서울특별시 중구 퇴계로10길 16-1, 1층(회현동1가) "
433,남산점,서울특별시 중구 소공로 46 B01호(1층) 
434,서울역이프라자점,"서울특별시 중구 세종대로4길 25, B1층 2호(남대문로5가) "
435,퇴계로점,"서울특별시 중구 퇴계로53길 10, 1층 101호(쌍림동) "
436,애오개역점,"서울특별시 마포구 마포대로 225, 270-20 1층(아현동) "
437,세종대로점,"서울특별시 중구 세종대로 23, 1층(남대문로5가, 창화빌딩) "
438,서강대점,"서울 마포구 백범로 35, 서강대학교 동문회관 1층 1호 "
439,선유도코오롱타워점,"서울특별시 영등포구 양평로22길 21, 1층 A107호(양평동5가, 선유도 코오롱디지털타워) "
440,충무로점,서울특별시 중구 수표로 22 아세아빌딩 1층(충무로3가) 
441,상수역점,"서울 마포구 와우산로 39, 1층 "
442,삼풍을지로점,"서울특별시 중구 을지로20길 26, 1층(인현동1가) "
443,북창동점,"서울특별시 중구 남대문로1길 14, 1층(북창동) "
444,황학동점,"서울 중구 마장로9길42, 에이트빌딩 1층 "
445,동대문점,"서울특별시 중구 장충단로13길 43, 1층 24-1호(을지로6가) "
446,광주금남로점,"광주광역시 동구 제봉로 171, 1층 2층(궁동) "
447,동대문맥스타일점,"서울 중구 마장로 3, 맥스타일 1층 253호 254호 "
448,을지트윈타워점,"서울특별시 중구 을지로 170, 2층 203호(을지로4가) "
449,동평화점,"서울특별시 중구 마장로 1길 28-13, 2동 12호(신당동) "
450,퍼시픽타워점,"서울특별시 중구 세종대로9길 41, 1층(서소문동, 올리브타워) "
451,중림한국경제점,"서울특별시 중구 청파로 461, 1층(중림동) "
452,명동점,"서울특별시 중구 명동9길 13, 1층(명동1가) "
453,목동1단지점,"서울특별시 양천구 목동서로 38, 상가비동 1층 101(5)호(목동, 목동신시가지아파트1단지) "
454,소공동점,"서울특별시 중구 남대문로7길 13(소공동, 지상1층) "
455,부천시청점,"경기도 부천시 길주로 205, 103호(중동, 솔라리움A동) "
456,중동현대점,"경기도 부천시 석천로183번길 21, 1층 106호(중동) "
457,홍대정문점,"서울 마포구 와우산로18길 38, 1층 "
458,다산DIMC테라타워점,"경기도 남양주시 다산지금로 202, 1층 알01-0103호(다산동, 현대테라타워 DIMC) "
459,용두동점,"서울특별시 동대문구 고산자로 409-1, 1층 좌측(용두동) "
460,서소문점,"서울특별시 중구 서소문로11길 14, 1층(서소문동) "
461,부평점,"인천광역시 부평구 경원대로1403번길 4, 1층(부평동) "
462,상무버들점,"광주광역시 서구 상무버들로 20, 1층 101호(유촌동) "
463,시청점,"서울특별시 중구 세종대로 91, 1층(태평로2가) "
464,동대문종합시장점,"서울특별시 종로구 종로 258, 1층 2호 내제25호(종로6가, 덕성빌딩) "
465,충정로점,"서울특별시 서대문구 경기대로 26-22, 1층(충정로3가) "
466,합정역해링턴타워점,"서울특별시 마포구 양화로 72, 1층 123호(서교동, 서교동 효성 해링턴 타워) "
467,서대문역점,"서울특별시 서대문구 충정로6길 59, 1층 A-5호(미근동, 서소문아파트) "
468,마포합정점,"서울특별시 마포구 월드컵로1길 14, B120호(합정동, 마포 한강 푸르지오) "
469,덕수궁롯데캐슬점,"서울특별시 중구 서소문로9길 28, 지1층 B101호(순화동, 덕수궁롯데캐슬) "
470,부천도당공단점,"경기도 부천시 평천로832번길 50, 1층(도당동) "
471,종로숭인점,"서울특별시 종로구 난계로29길 28, 1층(숭인동) "
472,홍대본점,서울특별시 마포구 와우산로 149 1층(서교동) 
473,장교빌딩점,"서울특별시 중구 삼일대로 363, 2동 1층 1호(장교동, 장교빌딩) "
474,청량리삼성화재점,"서울특별시 동대문구 고산자로34길 70,1층 105호(용두동, 청량리역 해링턴플레이스) "
475,신촌점,"서울특별시 서대문구 연세로5길 38, 1층(창천동) "
476,이대점,"서울특별시 서대문구 이화여대8길 2, 1동 제1층 101호(대현동, 무궁화상가아파트) "
477,까치산역점,"서울특별시 강서구 강서로16길 5, 1층(화곡동) "
478,메세나폴리스점,"서울특별시 마포구 양화로 45, 몰동 지1층 B181호(서교동, 메세나폴리스) "
479,동대문역점,"서울특별시 종로구 종로39길 10-1, 1층(종로6가, 칠성빌딩) "
480,광주서석점,"광주광역시 동구 제봉로82번길 13, 1층(서석동) "
481,을지로입구점,서울특별시 중구 남대문로10길 15 1층 
482,신설동역점,"서울특별시 동대문구 하정로5길 19, 1층(신설동) "
483,무교점,"서울특별시 중구 남대문로9길 24, 1층 107호(다동, 패스트파이브타워) "
484,부평대로점,"인천광역시 부평구 부평대로 16-1, 1층(부평동) "
485,관철동점,"서울특별시 종로구 삼일대로 383, 1층(관철동) "
486,제기동역점,서울특별시 동대문구 용두동 104-2 훈민타워 Ⅲ 1층 
487,인천도화점,"인천 미추홀구 숙골로87번길 2, 센타프라자 1층 111호 "
488,청계다동점,"서울특별시 중구 다동길 43, 1층 118,119,120호(다동, 한외빌딩) "
489,종로YBM점,"서울 종로구 종로 104, 종로YBM본관 1층 "
490,상동역점	,"경기도 부천시 상동로 90, 147호(상동, 메가플러스빌딩) "
491,종로3가점,"서울특별시 종로구 종로 127, 1,2층 103호(종로3가) "
492,종로5가점,서울특별시 종로구 종로31길 46-1(연지동) 
493,종로창경궁로점,"서울특별시 종로구 창경궁로 113, 1층 (인의동) "
494,서울시립대점,"서울특별시 동대문구 서울시립대로 160, 1층(전농동) "
495,홍대경의선숲길점,"서울특별시 마포구 신촌로4길 22-22, 1층(동교동) "
496,서대문충정빌딩점,"서울 서대문구 통일로 135, 충정빌딩 1층 "
497,정동점,"서울특별시 중구 정동길 6, 1층(정동) "
498,종로르메이에르점,"서울특별시 종로구 종로 19, 1층 121-2호(종로1가, 르메이에르종로타운1) "
499,광화문오피시아점,"서울특별시 종로구 새문안로 92, 지하B201호, 지하B022호(신문로1가, 광화문오피시아빌딩) "
500,망원역점,"서울특별시 마포구 동교로9길 37, 1층(망원동) "
501,광주내방점,"광주광역시 서구 월드컵4강로 210번길 16, 1층(내방동) "
502,경희궁자이점,"서울특별시 종로구 경교장길 35, 상가동 1층 3134호(평동, 경희궁자이 3단지) "
503,익선동점,"서울특별시 종로구 삼일대로30길 28, 1층(익선동) "
504,광화문역점,"서울특별시 종로구 새문안로5길 14, 1층(당주동) "
505,염창역점,"서울특별시 강서구 공항대로 637, 상가동 1층 101호(염창동, 염창현대아이파크아파트) "
506,고대1호점,서울특별시 성북구 인촌로22길 61(안암동5가) 
507,우림시장점,"서울특별시 중랑구 용마산로 498, 1층 101호(망우동) "
508,내수동점,"서울특별시 종로구 새문안로3길 23, 107호(내수동, 경희궁의 아침 4단지) "
509,종로구청북부점,"서울특별시 종로구 종로5길 97, 1층(수송동) "
510,수송동점,"서울특별시 종로구 율곡로4길 6, 1층(수송동) "
511,구리롯데점,"경기 구리시 경춘로 253, 106호 (인창동, 다우스퀘어) "
512,등촌역점,"서울특별시 양천구 목동중앙북로7가길 4, 1층 4호(목동, 정목빌딩2) "
513,구리한양대병원점,"경기도 구리시 동구릉로6번길 13-1, 대원빌딩 1층 101호(교문동) "
514,상봉역베스트원점,"서울특별시 중랑구 망우로 304, 105호(상봉동, 상봉베스트원아파트) "
515,경복궁역점,"서울특별시 종로구 사직로 130, 지하1층 60호, 65호(적선동, 적선현대빌딩) "
516,삼산점,"인천광역시 부평구 충선로203번길 24, 1층 120호, 121호(삼산동, 삼산프라자) "
517,안국역점,서울특별시 종로구 계동길 23(계동) 
518,상봉동점,"서울특별시 중랑구 망우로 346, 상가동 1층 111-1호(상봉동, 한일써너스빌) "
519,고대2호점,"서울특별시 성북구 개운사길 22-6, 1층(안암동5가) "
520,인천연안부두점,"인천광역시 중구 연안부두로 45, 에이동 7호(항동7가) "
521,부천테크노파크점,"경기도 부천시 석천로 345, 부대동 110호(삼정동, 부천테크노파크) "
522,구리역점,"경기도 구리시 건원대로 42, 1층 109호(인창동, 삼원골드프라자) "
523,경희대점,"서울특별시 동대문구 경희대로 22, 1층(회기동) "
524,광주상무중앙점,"광주광역시 서구 상무중앙로 62, 1층(치평동) "
525,인천가좌점,"인천광역시 서구 장고개로337번길 16, 401동 105호(가좌동, 가좌한신 휴아파트 상가) "
526,부천테크노파크쌍용3차점,"경기도 부천시 석천로 397, 203동 2층 213호(삼정동, 부천테크노파크쌍용3차) "
527,외대점,서울특별시 동대문구 휘경로5 1층 
528,성북구청점,"서울 성북구 보문로32길 6, 1층 "
529,신포점,"인천광역시 중구 우현로 35-1, 1층 일부 및 2층(신포동) "
530,마포구청점,"서울특별시 마포구 월드컵로34길 13, 1동 104-2호(성산동, 상암 월드시티) "
531,성신여대점,"서울특별시 성북구 보문로34길 87, 1층(동선동3가) "
532,외대후문점,"서울특별시 동대문구 천장산로7길 16, 1층 전체(이문동) "
533,서울강서경찰서점,"서울 강서구 화곡로 318, 1층 "
534,증미역NH서울타워점,"서울특별시 강서구 양천로 570, 1층 114호(등촌동, NH서울축산농협NH서울타워) "
535,우림블루나인점,"서울특별시 강서구 양천로 583, 1층 112호(염창동, 우림블루나인비즈니스센터) "
536,성대중문점,"서울 종로구 명륜길 40-1, 1층 "
537,인천U1광장점,"인천광역시 부평구 주부토로 236, B동 1층 162호(갈산동, 인천테크노밸리U1 CENTER) "
538,동소문점,"서울시 성북구 아리랑로 15, 1층 "
539,강서IT밸리점,"서울특별시 강서구 화곡로68길 82,1층 111호(등촌동, 강서아이티밸리) "
540,증미한화점,"서울특별시 강서구 양천로 551-24, 102호(가양동, 한화비즈메트로2차) "
541,우장산롯데캐슬점,"서울특별시 강서구 공항대로 382, 제상가동 제1층 제106호(화곡동, 우장산롯데캐슬아파트) "
542,서대문구청점,"서울특별시 서대문구 연희로 239, 1층 일부 "
543,가양스카이밸리점,"서울특별시 강서구 화곡로 416, 1층 138호(등촌동, 가양역 더스카이밸리5차 지식산업센터) "
544,부평우림라이온스점,"인천광역시 부평구 부평대로 283, B동 1층 116호 (청천동, 부평우림라이온스밸리) "
545,명지대점,"서울특별시 서대문구 거북골로 34, MCC동 코이노이아홀 지하2층(남가좌동, 명지대학교) "
546,서운점,"인천광역시 계양구 서운로 45, 1층 일부호(서운동) "
547,상암DMC점,"서울특별시 마포구 성암로13길 37, 1,2,3층(상암동) "
548,에이스타워마곡점,"서울특별시 강서구 공항대로 237, 1층 119호(마곡동, 에이스타워 마곡) "
549,신내데시앙플렉스점,"서울특별시 중라구 신내역로3길 40-36, 지하1층 알비109호(신내동, 신내데시앙플랙스) "
550,마곡그랑트윈타워점,"서울특별시 강서구 마곡중앙4로 18, 1층 105호(마곡동) "
551,마곡호서대점,"서울 강서구 강서로56가길 53, 1층 "
552,마곡보타닉파크타워2차점,"서울특별시 강서구 공항대로 213, 1층 107호(마곡동, 보타닉파크타워2) "
553,전남영광점,전라남도 영광군 영광읍 대하길 111 
554,한강자이타워점,"서울특별시 강서구 양천로 401, A동 1층 116호(가양동, 강서한강자이타워) "
555,상암이안점,"서울특별시 마포구 월드컵북로 361, 2단지 108호 일부(상암동, DMC이안오피스텔) "
556,다산중앙점,"경기도 남양주시 다산중앙로145번길 15, 1층 111호(다산동, 신해센트럴타워 II) "
557,청천점	,"인천광역시 부평구 산청로 102, 102호(청천동) "
558,마곡류마타워점,"서울특별시 강서구 공항대로 164, 1층 119호(마곡동, 류마타워) "
559,상암DDMC점,"서울특별시 마포구 매봉산로 75, 지하1층 푸드코트19호(상암동, 디디엠씨(DDMC)) "
560,다산아이파크점,"경기도 남양주시 다산순환로 325, 1층 101호(다산동, 다산 아이파크 상가) "
561,현대미아점,"서울특별시 성북구 동소문로47길 12, 1층(길음동) "
562,효성동현대4차점,"인천광역시 계양구 새벌로 108, 상가동 103호(효성동, 현대아파트) "
563,양천향교역점,"서울특별시 강서구 강서로 455, 101동 1층 117호(마곡동, 마곡경동미르웰) "
564,상암중앙점,"서울특별시 마포구 월드컵북로 402, 1층 142호(상암동, 케이지아이티센터) "
565,태릉입구역점,"서울특별시 노원구 동일로 986, 101동 103호(공릉동, 노원 프레미어스 엠코) "
566,남양주시청제1청사점,"경기 남양주시 경춘로양골1길 13, 102호 "
567,상암사보이시티점,"서울특별시 마포구 월드컵북로54길 17, 1층 104호(상암동, 사보이시티디엠씨) "
568,상암IT타워점,"서울특별시 마포구 월드컵북로 434, 1층 117호(상암동, 상암 IT Tower) "
569,가양양천초점,"서울특별시 강서구 양천로 49길 39, 1층 1호(가양동) "
570,계양구청점,"인천광역시 계양구 계산새로 71, C동 103호(계산동, 하이베라스빌딩) "
571,마곡두산더랜드타워점,"서울특별시 강서구 마곡서로 152, 에이동 105호(마곡동, 두산더랜드타워) "
572,마곡나루점,"서울특별시 강서구 마곡중앙5로1길 20, 1층 111호(마곡동, 마곡나루역보타닉비즈타워) "
573,갈매점,"경기 구리시 갈매중앙로 80, 갈매동행정복지센터 1층 102호 "
574,광산구청점,"광주광역시 광산구 광산로29번길 18, 1층(송정동) "
575,과기대점,"서울특별시 노원구 공릉로 223, 도곡빌딩 1층(공릉동) "
576,솔샘점,"서울특별시 강북구 솔샘로 213, 1층 일부(미아동) "
577,은평구청점,"서울특별시 은평구 은평로 193-2, 1층(녹번동) "
578,개화산역점,"서울특별시 강서구 양천로 19, 1층 101호(방화동, 라테라스) "
