,store,address
63,정자역점,"경기도 성남시 분당구 성남대로331번길 8, 104호-1호(정자동, 분당인텔리지1 킨스타워) "
64,정자학원가점,"경기도 성남시 분당구 성남대로 381, 1층 106호(정자동, 폴라리스빌딩) "
65,안산한대역점,"경기도 안산시 상록구 광덕1로 375, 1층 114호(이동, 강우프라자) "
66,서현퍼스트점,"경기도 성남시 분당구 황새울로312번길 20, 1층 113호(서현동, 분당태성빌딩) "
67,대구월배삼정점,"대구광역시 달서구 조암남로32길 40, 402동 1층 115호(대천동, 월배삼정그린코아포레스트) "
68,대구신월성점,"대구광역시 달서구 월성로 100, 501동 1층 111호(월성동, 월성 삼정그린코아 에듀파크) "
69,서현역점,"경기도 성남시 분당구 황새울로342번길 11, 102호(서현동, 금호리빙스텔) "
70,군포IT밸리점,"경기 군포시 고산로148번길 17, 군포IT밸리 1층 S-105호 "
71,안산고잔점,"경기도 안산시 단원구 광덕3로 167-10, 109호(고잔동, 유니프라자) "
72,대구진천역점,"대구광역시 달서구 월배로 71, 1층 108호(진천동, 진전트윈팰리스) "
73,안산중앙점,"경기도 안산시 단원구 예술대학로 11, 105호(고잔동, 해남빌딩) "
74,대구월성래미안점,"대구광역시 달서구 조암남로 43, 1층(월성동) "
75,안산현대해상점,"경기도 안산시 단원구 고잔2길 9, 1층 107호(고잔동, 하이베라스) "
76,군포센트럴비즈파크점,"경기도 군포시 공단로140번길 38, 1층 121호(당정동) "
77,판교역점,"경기도 성남시 분당구 분당내곡로 117, 1층 108호(백현동, 알파돔타워4) "
78,안산자유센터점,"경기 안산시 단원구 화랑로 358 , 1층 126호,127호 "
79,판교중앙점,"경기도 성남시 분당구 대왕판교로606번길 31, 1층 109호(삼평동) "
80,판교점,"경기도 성남시 분당구 대왕판교로 670, 1층 126호(삼평동, 유스페이스2) "
81,원주무실점,"강원도 원주시 능라동길 47, 베르뉴노블레스타워 101호(무실동) "
82,대구상인점,"대구광역시 달서구 송현로7길 15, 1층 2호 103호(상인동) "
83,판교우림w시티점,"경기도 성남시 분당구 판교로255번길 9-22, 1층 123호(상평동, 우림더블유시티) "
84,호계데시앙플렉스점,"경기도 안양시 동안구 엘에스로 122, 1층 106호(호계동, 호계 데시앙플렉스) "
85,야탑점,"경기도 성남시 분당구 야탑로75번길 15, 1층 101-1호(야탑동, 세화2001빌딩) "
86,안산초지점,"경기도 안산시 단원구 원선1로 38, 상가동 111호(초지동, 두산위브아파트) "
87,야탑역점,"경기도 성남시 분당구 성남대로926번길 6, 1층 104호(야탑동, 야탑대덕프라자) "
88,금정2차SKV1점,"경기도 안양시 동안구 엘에스로 136, 1층 122호(호계동) "
89,심평원사거리점,"강원도 원주시 입춘로 110, 파라다이스프라자 1층 103호(반곡동) "
90,군포한림휴먼타워점,"경기도 군포시 엘에스로 172, 1층 105호(금정동,한림휴먼타워) "
91,판교제2테크노밸리점,"경기도 성남시 수정구 창업로 54, 지하 1층 B105호(시흥동) "
92,성남시청점,"경기도 성남시 중원구 성남대로997번길 11, 1층 103~104호(여수동) "
93,대구영대병원점,"대구광역시 남구 명덕시장길 53, 1층(대명동) "
94,평촌디지털엠파이어점,"경기도 안양시 동안구 흥안대로427번길 16, 지상1층 124호(관양동, 평촌디지털엠파이어) "
95,안산타크라3차점,"경기도 안산시 단원구 만해로 205, A동 128호(성곡동, 타원 TAKRA III) "
96,성결대점,"경기도 안양시 만안구 성결대학로 54, 1층(안양동) "
97,에이스청계타워점,"경기도 의왕시 성고개로 53, 1층 142호(포일동, 에이스청계타워) "
98,평촌하이필드점,"경기도 안양시 동안구 벌말로 66, 1층 R108호(관양동, 평촌역 하이필드) "
99,에이스하이테크시티범계점,"경기도 안양시 동안구 시민대로109번길 29, 1층 122호(호계동, 에이스하이테크시티 범계) "
